normal_consume,consumption_in_period,autoconsume,injection,temp_max,humidity,hour,taxa_autoconsumo,hora_partida,injection_tentativa,is_sunny
0.71,0.0,0.0,0,15.72,94,23,0.0,0,-0.71,0
0.891,0.0,0.0,0,14.72,94,0,0.0,0,-0.89,0
0.64,0.0,0.0,0,14.04,94,1,0.0,0,-0.64,0
0.558,0.0,0.0,0,14.04,94,2,0.0,0,-0.56,0
0.547,0.0,0.0,0,13.72,94,3,0.0,0,-0.55,0
0.55,0.0,0.0,0,13.72,94,4,0.0,0,-0.55,0
0.575,0.0,0.0,0,13.43,94,5,0.0,0,-0.57,0
0.642,0.0,0.0,0,12.32,94,6,0.0,0,-0.64,0
0.545,0.0,0.088,0,12.32,94,7,0.14,1,-0.46,0
0.296,0.0,0.271,1,14.0,94,8,0.48,1,-0.02,1
0.314,0.0,0.196,0,15.11,94,9,0.38,1,-0.12,1
0.109,0.0,0.439,2,15.72,92,10,0.8,1,0.33,1
0.026,0.0,0.524,3,18.44,88,11,0.95,1,0.5,1
0.325,0.0,0.327,2,16.78,81,12,0.5,1,0.0,1
0.078,0.0,0.441,3,18.99,70,13,0.85,1,0.36,1
0.307,0.0,0.235,1,18.43,65,14,0.44,1,-0.07,1
0.452,0.0,0.134,0,17.88,66,15,0.23,1,-0.32,1
0.509,0.0,0.049,0,17.32,74,16,0.09,1,-0.46,1
0.545,0.0,0.0,0,17.32,79,17,0.0,1,-0.55,1
0.454,0.0,0.0,0,16.21,83,18,0.0,1,-0.45,0
0.443,0.0,0.0,0,15.72,86,19,0.0,0,-0.44,0
0.92,0.0,0.0,0,15.72,89,20,0.0,0,-0.92,0
0.539,0.0,0.0,0,15.72,90,21,0.0,0,-0.54,0
0.418,0.0,0.0,0,15.72,90,22,0.0,0,-0.42,0
0.486,0.0,0.0,0,14.72,89,23,0.0,0,-0.49,0
0.514,0.0,0.0,0,13.99,89,0,0.0,0,-0.51,0
0.544,0.0,0.0,0,14.72,89,1,0.0,0,-0.54,0
0.268,0.0,0.0,0,14.72,92,2,0.0,0,-0.27,0
0.254,0.0,0.0,0,12.79,93,3,0.0,0,-0.25,0
0.253,0.0,0.0,0,13.43,93,4,0.0,0,-0.25,0
0.254,0.0,0.0,0,12.93,93,5,0.0,0,-0.25,0
0.253,0.0,0.0,0,12.93,93,6,0.0,0,-0.25,0
0.276,0.0,0.01,0,13.44,93,7,0.03,1,-0.27,0
0.412,0.0,0.088,0,13.44,94,8,0.18,1,-0.32,1
0.312,0.0,0.214,1,14.72,94,9,0.4,1,-0.1,1
0.53,0.0,0.146,0,15.72,93,10,0.21,1,-0.38,1
0.121,0.0,0.256,2,15.72,93,11,0.67,1,0.14,1
0.194,0.0,0.289,2,16.21,94,12,0.6,1,0.09,1
0.177,0.0,0.242,1,14.72,94,13,0.58,1,0.06,1
0.136,0.0,0.176,1,15.1,93,14,0.57,1,0.04,1
0.299,0.0,0.164,1,15.72,93,15,0.36,1,-0.13,1
0.508,0.0,0.068,0,15.66,93,16,0.12,1,-0.44,1
0.457,0.0,0.001,0,14.54,91,17,0.0,1,-0.46,1
0.966,0.0,0.0,0,12.88,92,18,0.0,1,-0.97,0
1.137,0.0,0.0,0,13.72,93,19,0.0,0,-1.14,0
0.77,0.0,0.0,0,12.33,93,20,0.0,0,-0.77,0
0.453,0.0,0.0,0,11.78,93,21,0.0,0,-0.45,0
0.395,0.0,0.0,0,11.78,93,22,0.0,0,-0.4,0
0.393,0.0,0.0,0,11.78,92,23,0.0,0,-0.39,0
0.248,0.0,0.0,0,10.72,91,0,0.0,0,-0.25,0
0.247,0.0,0.0,0,10.1,92,1,0.0,0,-0.25,0
0.249,0.0,0.0,0,10.1,93,2,0.0,0,-0.25,0
0.26,0.0,0.0,0,9.54,94,3,0.0,0,-0.26,0
0.258,0.0,0.0,0,9.45,94,4,0.0,0,-0.26,0
0.258,0.0,0.0,0,8.99,94,5,0.0,0,-0.26,0
0.341,0.0,0.0,0,7.88,94,6,0.0,0,-0.34,0
0.62,0.0,0.013,0,9.0,94,7,0.02,1,-0.61,0
0.608,0.0,0.123,0,9.0,94,8,0.17,1,-0.48,1
0.014,0.0,0.241,2,11.72,93,9,0.93,1,0.23,1
0.0,0.0,0.264,3,14.0,88,10,1.02,1,0.26,1
0.0,0.0,0.27,4,13.99,86,11,1.0,1,0.27,1
0.033,0.0,0.33,4,14.0,80,12,0.92,1,0.3,1
0.009,0.0,0.399,4,14.55,76,13,0.97,1,0.39,1
0.103,0.0,0.294,2,15.1,75,14,0.73,1,0.19,1
0.075,0.0,0.173,2,15.1,79,15,0.69,1,0.1,1
0.209,0.0,0.037,0,14.54,74,16,0.15,1,-0.17,1
0.255,0.0,0.0,0,13.99,85,17,0.0,1,-0.26,1
0.403,0.0,0.0,0,12.32,86,18,0.0,1,-0.4,0
0.506,0.0,0.0,0,11.78,85,19,0.0,0,-0.51,0
0.324,0.0,0.0,0,11.22,89,20,0.0,0,-0.32,0
0.459,0.0,0.0,0,11.22,88,21,0.0,0,-0.46,0
0.51,0.0,0.0,0,11.22,90,22,0.0,0,-0.51,0
0.366,0.0,0.0,0,10.67,91,23,0.0,0,-0.37,0
0.27,0.0,0.0,0,10.67,91,0,0.0,0,-0.27,0
0.255,0.0,0.0,0,7.93,92,1,0.0,0,-0.26,0
0.255,0.0,0.0,0,7.37,92,2,0.0,0,-0.26,0
0.252,0.0,0.0,0,7.93,91,3,0.0,0,-0.25,0
0.239,0.0,0.0,0,6.82,91,4,0.0,0,-0.24,0
0.319,0.0,0.0,0,6.82,92,5,0.0,0,-0.32,0
0.307,0.0,0.0,0,6.82,91,6,0.0,0,-0.31,0
0.814,0.0,0.064,0,6.82,91,7,0.07,1,-0.75,0
0.024,0.0,0.291,2,8.48,87,8,0.91,1,0.27,1
0.0,0.0,0.278,3,10.15,81,9,0.99,1,0.28,1
0.0,0.0,0.279,4,11.82,75,10,1.0,1,0.28,1
0.0,0.0,0.286,4,13.99,73,11,0.99,1,0.29,1
0.001,0.0,0.281,4,14.55,71,12,1.0,1,0.28,1
0.001,0.0,0.276,3,14.72,61,13,0.99,1,0.28,1
0.01,0.0,0.26,3,15.72,58,14,0.96,1,0.25,1
0.267,0.0,0.225,2,15.72,55,15,0.46,1,-0.04,1
0.556,0.0,0.115,0,15.11,63,16,0.17,1,-0.44,1
0.628,0.0,0.005,0,14.54,71,17,0.01,1,-0.62,1
0.509,0.0,0.0,0,12.88,73,18,0.0,1,-0.51,0
1.11,0.0,0.0,0,11.78,75,19,0.0,0,-1.11,0
0.831,0.0,0.0,0,11.21,73,20,0.0,0,-0.83,0
0.537,0.0,0.0,0,10.67,76,21,0.0,0,-0.54,0
0.591,0.0,0.0,0,10.15,75,22,0.0,0,-0.59,0
0.334,0.0,0.0,0,9.59,77,23,0.0,0,-0.33,0
0.313,0.0,0.0,0,9.04,76,0,0.0,0,-0.31,0
0.26,0.0,0.0,0,8.68,80,1,0.0,0,-0.26,0
0.247,0.0,0.0,0,7.93,82,2,0.0,0,-0.25,0
0.247,0.0,0.0,0,8.48,80,3,0.0,0,-0.25,0
0.26,0.0,0.0,0,8.12,80,4,0.0,0,-0.26,0
0.257,0.0,0.0,0,7.57,81,5,0.0,0,-0.26,0
0.256,0.0,0.0,0,8.48,78,6,0.0,0,-0.26,0
0.635,0.0,0.061,0,8.48,77,7,0.09,1,-0.57,0
0.18,0.0,0.329,2,9.04,74,8,0.65,1,0.15,1
0.317,0.0,0.452,3,11.82,66,9,0.59,1,0.14,1
0.121,0.0,0.405,3,11.82,72,10,0.76,1,0.28,1
0.137,0.0,0.533,3,13.48,64,11,0.8,1,0.4,1
0.014,0.0,0.305,4,14.59,63,12,0.95,1,0.29,1
0.0,0.0,0.274,4,17.88,59,13,1.01,1,0.27,1
0.002,0.0,0.263,3,16.77,55,14,1.01,1,0.26,1
0.0,0.0,0.255,2,16.72,55,15,0.98,1,0.26,1
0.179,0.0,0.079,1,15.72,59,16,0.3,1,-0.1,1
0.252,0.0,0.0,0,15.1,61,17,0.0,1,-0.25,1
0.31,0.0,0.0,0,13.43,64,18,0.0,1,-0.31,0
0.328,0.0,0.0,0,12.88,72,19,0.0,0,-0.33,0
0.883,0.0,0.0,0,11.77,76,20,0.0,0,-0.88,0
1.36,0.0,0.0,0,11.12,79,21,0.0,0,-1.36,0
0.0,0.342,0.0,0,10.7,71,22,0.0,0,-0.34,0
0.0,0.318,0.0,0,10.11,81,23,0.0,0,-0.32,0
0.0,0.263,0.0,0,9.59,77,0,0.0,0,-0.26,0
0.0,0.241,0.0,0,9.59,78,1,0.0,0,-0.24,0
0.0,0.239,0.0,0,9.04,79,2,0.0,0,-0.24,0
0.0,0.252,0.0,0,9.04,78,3,0.0,0,-0.25,0
0.0,0.365,0.0,0,9.59,76,4,0.0,0,-0.36,0
0.0,0.256,0.0,0,9.04,77,5,0.0,0,-0.26,0
0.0,0.254,0.0,0,9.04,77,6,0.0,0,-0.25,0
0.0,0.186,0.058,1,8.48,77,7,0.24,1,-0.13,0
0.001,0.0,0.25,2,9.04,78,8,1.0,1,0.25,1
0.0,0.0,0.255,3,10.67,73,9,0.98,1,0.26,1
0.0,0.0,0.293,4,11.82,66,10,1.01,1,0.29,1
0.011,0.0,0.297,4,12.89,60,11,0.96,1,0.29,1
0.44,0.0,0.738,3,14.54,55,12,0.63,1,0.3,1
0.209,0.0,0.445,3,15.1,49,13,0.68,1,0.24,1
0.001,0.0,0.359,3,15.72,46,14,1.0,1,0.36,1
0.61,0.0,0.371,2,15.15,46,15,0.38,1,-0.24,1
1.33,0.0,0.072,0,15.67,47,16,0.05,1,-1.26,1
0.399,0.0,0.001,0,15.11,52,17,0.0,1,-0.4,1
0.485,0.0,0.0,0,13.99,60,18,0.0,1,-0.48,0
0.589,0.0,0.0,0,12.88,58,19,0.0,0,-0.59,0
0.733,0.0,0.0,0,11.22,83,20,0.0,0,-0.73,0
0.338,0.0,0.0,0,11.22,87,21,0.0,0,-0.34,0
0.0,0.346,0.0,0,10.67,89,22,0.0,0,-0.35,0
0.0,0.458,0.0,0,10.67,91,23,0.0,0,-0.46,0
0.0,0.321,0.0,0,9.55,92,0,0.0,0,-0.32,0
0.0,0.317,0.0,0,7.88,92,1,0.0,0,-0.32,0
0.0,0.33,0.0,0,7.79,89,2,0.0,0,-0.33,0
0.0,0.302,0.0,0,8.9,89,3,0.0,0,-0.3,0
0.0,0.276,0.0,0,8.34,91,4,0.0,0,-0.28,0
0.0,0.264,0.0,0,8.34,92,5,0.0,0,-0.26,0
0.0,0.251,0.0,0,8.34,92,6,0.0,0,-0.25,0
0.0,0.21,0.046,1,8.34,93,7,0.18,1,-0.16,0
0.001,0.0,0.308,2,9.59,69,8,0.99,1,0.31,1
0.0,0.0,0.254,3,12.37,64,9,1.02,1,0.25,1
0.017,0.0,0.31,3,12.88,65,10,0.94,1,0.29,1
0.07,0.0,0.265,2,15.15,58,11,0.78,1,0.2,1
1.305,0.0,0.954,2,16.26,52,12,0.42,1,-0.35,1
0.763,0.0,0.685,2,16.82,55,13,0.47,1,-0.08,1
0.012,0.0,0.368,3,17.93,52,14,0.97,1,0.36,1
0.016,0.0,0.301,2,17.79,54,15,0.94,1,0.28,1
0.341,0.0,0.061,0,17.79,56,16,0.15,1,-0.28,1
0.801,0.0,0.0,0,15.7,60,17,0.0,1,-0.8,1
0.804,0.0,0.0,0,14.59,66,18,0.0,1,-0.8,0
1.649,0.0,0.0,0,14.04,68,19,0.0,0,-1.65,0
0.859,0.0,0.0,0,12.33,80,20,0.0,0,-0.86,0
0.472,0.0,0.0,0,12.89,86,21,0.0,0,-0.47,0
0.0,0.435,0.0,0,13.44,65,22,0.0,0,-0.44,0
0.0,0.388,0.0,0,12.33,85,23,0.0,0,-0.39,0
0.0,0.382,0.0,0,12.79,83,0,0.0,0,-0.38,0
0.0,0.396,0.0,0,12.37,68,1,0.0,0,-0.4,0
0.0,0.383,0.0,0,12.93,64,2,0.0,0,-0.38,0
0.0,0.387,0.0,0,12.23,86,3,0.0,0,-0.39,0
0.0,0.285,0.0,0,12.23,87,4,0.0,0,-0.28,0
0.0,0.272,0.0,0,12.23,68,5,0.0,0,-0.27,0
0.0,0.255,0.0,0,12.37,68,6,0.0,0,-0.26,0
0.0,0.977,0.014,0,12.37,67,7,0.01,1,-0.96,0
0.647,0.0,0.101,0,11.82,71,8,0.13,1,-0.55,1
0.065,0.0,0.297,2,13.48,65,9,0.82,1,0.23,1
0.0,0.0,0.287,2,13.44,71,10,0.99,1,0.29,1
0.0,0.0,0.281,4,16.26,67,11,1.0,1,0.28,1
0.0,0.0,0.274,4,17.57,61,12,1.01,1,0.27,1
0.0,0.0,0.259,3,18.68,60,13,1.0,1,0.26,1
0.0,0.0,0.258,3,20.34,60,14,0.99,1,0.26,1
0.0,0.0,0.266,2,20.34,61,15,0.99,1,0.27,1
0.211,0.0,0.058,0,19.79,60,16,0.21,1,-0.15,1
0.296,0.0,0.0,0,18.68,63,17,0.0,1,-0.3,1
0.413,0.0,0.0,0,17.01,68,18,0.0,1,-0.41,0
0.689,0.0,0.0,0,15.9,69,19,0.0,0,-0.69,0
0.864,0.0,0.0,0,15.7,71,20,0.0,0,-0.86,0
0.656,0.0,0.0,0,15.15,73,21,0.0,0,-0.66,0
0.0,0.512,0.0,0,14.04,79,22,0.0,0,-0.51,0
0.0,0.448,0.0,0,15.15,76,23,0.0,0,-0.45,0
0.0,1.19,0.0,0,15.15,75,0,0.0,0,-1.19,0
0.0,0.292,0.0,0,12.23,94,1,0.0,0,-0.29,0
0.0,0.264,0.0,0,11.68,93,2,0.0,0,-0.26,0
0.0,0.305,0.0,0,12.23,93,3,0.0,0,-0.3,0
0.0,0.259,0.0,0,12.23,94,4,0.0,0,-0.26,0
0.0,0.261,0.0,0,12.79,95,5,0.0,0,-0.26,0
0.0,0.297,0.0,0,13.34,93,6,0.0,0,-0.3,0
0.0,1.134,0.039,0,13.34,96,7,0.03,1,-1.1,0
0.427,0.0,0.399,1,13.44,95,8,0.48,1,-0.03,1
0.008,0.0,0.363,3,16.82,67,9,0.98,1,0.36,1
0.0,0.0,0.256,3,17.93,66,10,0.98,1,0.26,1
0.082,0.0,0.578,3,19.04,61,11,0.88,1,0.5,1
0.0,0.0,0.281,4,20.15,57,12,1.0,1,0.28,1
0.0,0.0,0.261,3,20.72,61,13,1.0,1,0.26,1
0.0,0.0,0.256,3,21.22,59,14,0.98,1,0.26,1
0.007,0.0,0.246,2,21.12,58,15,0.98,1,0.24,1
0.233,0.0,0.055,0,20.7,63,16,0.19,1,-0.18,1
0.239,0.0,0.0,0,19.59,66,17,0.0,1,-0.24,1
0.407,0.0,0.0,0,17.93,70,18,0.0,1,-0.41,0
0.843,0.0,0.0,0,17.37,66,19,0.0,0,-0.84,0
0.743,0.0,0.0,0,16.82,65,20,0.0,0,-0.74,0
0.576,0.0,0.0,0,16.78,89,21,0.0,0,-0.58,0
0.0,0.759,0.0,0,16.22,92,22,0.0,0,-0.76,0
0.0,0.411,0.0,0,15.67,92,23,0.0,0,-0.41,0
0.0,0.369,0.0,0,13.9,93,0,0.0,0,-0.37,0
0.0,0.317,0.0,0,12.72,92,1,0.0,0,-0.32,0
0.0,0.292,0.0,0,13.34,93,2,0.0,0,-0.29,0
0.0,0.262,0.0,0,13.34,94,3,0.0,0,-0.26,0
0.0,0.263,0.0,0,12.79,94,4,0.0,0,-0.26,0
0.0,0.281,0.0,0,12.79,91,5,0.0,0,-0.28,0
0.0,0.256,0.0,0,12.72,90,6,0.0,0,-0.26,0
0.0,1.797,0.035,0,12.23,90,7,0.02,1,-1.76,0
0.271,0.0,0.365,2,14.04,66,8,0.57,1,0.09,1
0.0,0.0,0.264,3,15.7,60,9,1.02,1,0.26,1
0.0,0.0,0.263,3,16.82,56,10,1.01,1,0.26,1
0.0,0.0,0.271,4,18.48,53,11,1.0,1,0.27,1
0.0,0.0,0.282,4,19.59,51,12,1.01,1,0.28,1
0.0,0.0,0.277,3,20.66,53,13,0.99,1,0.28,1
0.0,0.0,0.271,3,20.15,49,14,1.0,1,0.27,1
0.014,0.0,0.247,2,19.54,48,15,0.95,1,0.23,1
0.197,0.0,0.057,0,19.04,53,16,0.23,1,-0.14,1
0.255,0.0,0.0,0,18.43,58,17,0.0,1,-0.26,1
1.125,0.0,0.0,0,16.77,70,18,0.0,1,-1.12,0
1.481,0.0,0.0,0,15.15,75,19,0.0,0,-1.48,0
1.26,0.0,0.0,0,14.59,75,20,0.0,0,-1.26,0
1.078,0.0,0.0,0,14.04,81,21,0.0,0,-1.08,0
0.0,1.018,0.0,0,14.04,80,22,0.0,0,-1.02,0
0.0,0.686,0.0,0,14.04,77,23,0.0,0,-0.69,0
0.0,0.566,0.0,0,14.04,80,0,0.0,0,-0.57,0
0.0,0.547,0.0,0,14.04,77,1,0.0,0,-0.55,0
0.0,0.515,0.0,0,13.48,76,2,0.0,0,-0.52,0
0.0,0.465,0.0,0,12.93,79,3,0.0,0,-0.46,0
0.0,0.461,0.0,0,12.37,81,4,0.0,0,-0.46,0
0.0,0.448,0.0,0,11.82,82,5,0.0,0,-0.45,0
0.0,0.442,0.0,0,12.37,81,6,0.0,0,-0.44,0
0.0,1.874,0.024,0,12.37,80,7,0.01,1,-1.85,0
0.395,0.0,0.345,0,12.93,78,8,0.47,1,-0.05,1
0.438,0.0,0.611,2,15.15,72,9,0.58,1,0.17,1
0.152,0.0,0.641,2,16.82,69,10,0.81,1,0.49,1
0.396,0.0,0.779,2,16.82,70,11,0.66,1,0.38,1
0.0,0.0,0.484,3,19.54,72,12,1.01,1,0.48,1
0.0,0.0,0.465,3,20.66,68,13,1.01,1,0.46,1
0.0,0.0,0.476,2,18.99,70,14,0.99,1,0.48,1
0.107,0.0,0.358,0,17.93,72,15,0.78,1,0.25,1
0.403,0.0,0.059,0,17.57,73,16,0.13,1,-0.34,1
0.454,0.0,0.0,0,16.45,80,17,0.0,1,-0.45,1
0.61,0.0,0.0,0,14.79,85,18,0.0,1,-0.61,0
0.485,0.0,0.0,0,13.48,89,19,0.0,0,-0.48,0
0.445,0.0,0.0,0,12.93,90,20,0.0,0,-0.44,0
0.516,0.0,0.0,0,12.33,92,21,0.0,0,-0.52,0
0.0,0.581,0.0,0,11.82,92,22,0.0,0,-0.58,0
0.0,0.587,0.0,0,11.82,93,23,0.0,0,-0.59,0
0.0,0.578,0.0,0,11.82,93,0,0.0,0,-0.58,0
0.0,0.556,0.0,0,11.26,93,1,0.0,0,-0.56,0
0.0,0.517,0.0,0,11.26,93,2,0.0,0,-0.52,0
0.0,0.539,0.0,0,11.82,93,3,0.0,0,-0.54,0
0.0,0.484,0.0,0,11.26,93,4,0.0,0,-0.48,0
0.0,0.528,0.0,0,11.26,91,5,0.0,0,-0.53,0
0.0,0.502,0.0,0,10.7,89,6,0.0,0,-0.5,0
0.0,1.451,0.006,0,9.59,89,7,0.0,1,-1.44,0
0.33,0.0,0.302,2,10.15,86,8,0.48,1,-0.03,1
0.26,0.0,0.339,1,13.48,82,9,0.57,1,0.08,1
0.0,0.0,0.258,3,14.04,81,10,0.99,1,0.26,1
0.0,0.0,0.317,4,15.15,79,11,0.99,1,0.32,1
0.0,0.0,0.323,3,16.26,72,12,1.01,1,0.32,1
0.0,0.0,0.311,3,18.43,64,13,1.0,1,0.31,1
0.0,0.0,0.312,3,19.23,64,14,1.01,1,0.31,1
0.051,0.0,0.309,2,18.68,65,15,0.86,1,0.26,1
0.31,0.0,0.054,0,18.12,66,16,0.15,1,-0.26,1
0.445,0.0,0.0,0,17.01,72,17,0.0,1,-0.44,1
1.242,0.0,0.0,0,15.15,80,18,0.0,1,-1.24,0
0.902,0.0,0.0,0,14.59,80,19,0.0,0,-0.9,0
0.341,0.0,0.0,0,14.59,82,20,0.0,0,-0.34,0
0.514,0.0,0.0,0,13.48,84,21,0.0,0,-0.51,0
0.0,0.557,0.0,0,12.33,91,22,0.0,0,-0.56,0
0.0,0.449,0.0,0,11.78,90,23,0.0,0,-0.45,0
0.0,0.34,0.0,0,11.22,89,0,0.0,0,-0.34,0
0.0,0.356,0.0,0,11.68,89,1,0.0,0,-0.36,0
0.0,0.457,0.0,0,12.23,90,2,0.0,0,-0.46,0
0.0,0.379,0.0,0,10.01,91,3,0.0,0,-0.38,0
0.0,0.347,0.0,0,10.57,92,4,0.0,0,-0.35,0
0.0,0.337,0.0,0,10.57,94,5,0.0,0,-0.34,0
0.0,0.292,0.0,0,10.57,95,6,0.0,0,-0.29,0
0.0,0.293,0.023,0,10.57,95,7,0.07,1,-0.27,0
0.005,0.0,0.321,2,13.48,72,8,0.97,1,0.32,1
0.0,0.0,0.432,2,12.79,89,9,1.0,1,0.43,1
0.427,0.0,0.763,2,16.82,65,10,0.64,1,0.34,1
0.287,0.0,0.666,3,18.48,60,11,0.7,1,0.38,1
0.0,0.0,0.36,3,19.59,54,12,1.0,1,0.36,1
0.0,0.0,0.276,3,20.66,61,13,0.99,1,0.28,1
0.217,0.0,0.356,3,20.67,55,14,0.62,1,0.14,1
1.477,0.0,0.388,0,20.57,55,15,0.21,1,-1.09,1
1.66,0.0,0.053,0,20.01,57,16,0.03,1,-1.61,1
0.756,0.0,0.0,0,18.48,62,17,0.0,1,-0.76,1
0.804,0.0,0.0,0,17.37,69,18,0.0,1,-0.8,0
0.583,0.0,0.0,0,16.26,72,19,0.0,0,-0.58,0
0.545,0.0,0.0,0,15.7,74,20,0.0,0,-0.55,0
0.894,0.0,0.0,0,15.15,78,21,0.0,0,-0.89,0
0.0,0.559,0.0,0,13.9,93,22,0.0,0,-0.56,0
0.0,0.411,0.0,0,14.0,93,23,0.0,0,-0.41,0
0.0,0.488,0.0,0,14.0,91,0,0.0,0,-0.49,0
0.0,0.461,0.0,0,13.34,90,1,0.0,0,-0.46,0
0.0,0.333,0.0,0,14.04,73,2,0.0,0,-0.33,0
0.0,0.317,0.0,0,12.79,92,3,0.0,0,-0.32,0
0.0,0.315,0.0,0,12.32,91,4,0.0,0,-0.32,0
0.0,0.326,0.0,0,12.93,74,5,0.0,0,-0.33,0
0.0,0.323,0.0,0,12.23,91,6,0.0,0,-0.32,0
0.0,0.204,0.022,0,11.68,92,7,0.1,1,-0.18,0
0.312,0.0,0.374,2,11.68,90,8,0.54,1,0.06,1
0.236,0.0,0.58,2,13.34,90,9,0.71,1,0.34,1
0.081,0.0,0.922,0,16.26,61,10,0.92,1,0.84,1
0.213,0.0,0.994,0,18.72,60,11,0.82,1,0.78,1
0.724,0.0,0.941,2,18.72,57,12,0.57,1,0.22,1
0.0,0.0,0.363,3,20.66,55,13,1.01,1,0.36,1
0.0,0.0,0.349,3,20.67,52,14,1.0,1,0.35,1
0.258,0.0,0.313,2,19.79,51,15,0.55,1,0.05,1
0.245,0.0,0.049,0,19.23,51,16,0.17,1,-0.2,1
0.404,0.0,0.0,0,17.93,56,17,0.0,1,-0.4,1
1.603,0.0,0.0,0,16.21,83,18,0.0,1,-1.6,0
1.238,0.0,0.0,0,15.15,69,19,0.0,0,-1.24,0
0.825,0.0,0.0,0,14.04,75,20,0.0,0,-0.82,0
0.549,0.0,0.0,0,14.04,74,21,0.0,0,-0.55,0
0.0,0.665,0.0,0,14.04,73,22,0.0,0,-0.66,0
0.0,0.491,0.0,0,12.93,76,23,0.0,0,-0.49,0
0.0,0.398,0.0,0,10.57,88,0,0.0,0,-0.4,0
0.0,0.249,0.0,0,10.01,88,1,0.0,0,-0.25,0
0.0,0.279,0.0,0,9.23,87,2,0.0,0,-0.28,0
0.0,0.3,0.0,0,9.23,86,3,0.0,0,-0.3,0
0.0,0.239,0.0,0,9.23,88,4,0.0,0,-0.24,0
0.0,0.25,0.0,0,10.7,65,5,0.0,0,-0.25,0
0.0,0.294,0.0,0,9.23,89,6,0.0,0,-0.29,0
0.0,1.685,0.016,0,8.68,89,7,0.01,1,-1.67,0
0.449,0.0,0.343,2,8.12,88,8,0.43,1,-0.11,1
0.0,0.0,0.259,3,13.48,65,9,1.0,1,0.26,1
0.0,0.0,0.261,3,14.59,65,10,1.0,1,0.26,1
0.0,0.0,0.25,4,15.7,61,11,1.0,1,0.25,1
0.0,0.0,0.252,4,17.32,58,12,1.01,1,0.25,1
0.0,0.0,0.262,3,17.88,58,13,1.01,1,0.26,1
0.0,0.0,0.256,3,17.72,57,14,0.98,1,0.26,1
