normal_consume,consumption_in_period,autoconsume,temp_max,humidity,hour,taxa_autoconsumo,hora_partida,injection_tentativa,is_sunny
0.0,0.47,0.0,6.82,95,3,0.0,0,-0.47,0
0.0,0.497,0.0,6.82,94,4,0.0,0,-0.5,0
0.0,0.443,0.0,5.82,94,5,0.0,0,-0.44,0
0.0,0.792,0.0,5.82,90,6,0.0,0,-0.79,0
0.0,1.763,0.0,5.82,92,7,0.0,1,-1.76,0
0.947,0.0,0.074,5.82,89,8,0.07,1,-0.87,0
0.245,0.0,0.406,5.82,94,9,0.62,1,0.16,1
0.164,0.0,0.421,6.82,92,10,0.73,1,0.26,1
0.052,0.0,0.449,8.82,91,11,0.9,1,0.4,1
0.067,0.0,0.394,10.82,81,12,0.86,1,0.33,1
0.018,0.0,0.436,12.01,82,13,0.97,1,0.42,1
0.0,0.0,0.444,13.12,81,14,1.01,1,0.44,1
0.222,0.0,0.223,13.82,82,15,0.51,1,0.0,1
0.457,0.0,0.046,13.82,81,16,0.09,1,-0.41,1
0.586,0.0,0.0,12.82,84,17,0.0,1,-0.59,1
1.821,0.0,0.0,12.82,83,18,0.0,1,-1.82,0
1.046,0.0,0.0,11.82,81,19,0.0,0,-1.05,0
0.413,0.0,0.0,11.82,80,20,0.0,0,-0.41,0
0.36,0.0,0.0,11.82,82,21,0.0,0,-0.36,0
0.0,0.369,0.0,12.82,82,22,0.0,0,-0.37,0
0.0,0.375,0.0,13.82,83,23,0.0,0,-0.38,0
0.0,0.732,0.0,13.82,82,0,0.0,0,-0.73,0
0.0,0.605,0.0,13.82,84,1,0.0,0,-0.6,0
0.0,0.493,0.0,13.82,86,2,0.0,0,-0.49,0
0.0,1.073,0.0,13.82,88,3,0.0,0,-1.07,0
0.0,0.777,0.0,12.93,90,4,0.0,0,-0.78,0
0.0,0.469,0.0,12.93,92,5,0.0,0,-0.47,0
0.0,0.412,0.0,13.6,93,6,0.0,0,-0.41,0
0.0,0.408,0.0,13.12,93,7,0.0,1,-0.41,0
0.383,0.0,0.0,13.12,93,8,0.0,1,-0.38,0
0.343,0.0,0.023,13.82,93,9,0.06,1,-0.32,1
0.333,0.0,0.03,14.15,94,10,0.08,1,-0.3,1
0.415,0.0,0.057,14.82,94,11,0.12,1,-0.36,1
0.61,0.0,0.061,14.82,94,12,0.09,1,-0.55,1
0.533,0.0,0.065,14.15,95,13,0.11,1,-0.47,1
0.536,0.0,0.02,15.82,95,14,0.04,1,-0.52,1
0.922,0.0,0.005,14.82,95,15,0.01,1,-0.92,1
0.678,0.0,0.001,13.82,95,16,0.0,1,-0.68,1
0.521,0.0,0.0,13.82,95,17,0.0,1,-0.52,1
0.563,0.0,0.0,13.82,95,18,0.0,1,-0.56,0
0.668,0.0,0.0,12.82,95,19,0.0,0,-0.67,0
0.523,0.0,0.0,13.82,95,20,0.0,0,-0.52,0
0.338,0.0,0.0,13.82,95,21,0.0,0,-0.34,0
0.0,0.34,0.0,13.82,94,22,0.0,0,-0.34,0
0.0,0.411,0.0,13.82,95,23,0.0,0,-0.41,0
0.0,0.677,0.0,13.82,95,0,0.0,0,-0.68,0
0.0,0.286,0.0,12.82,95,1,0.0,0,-0.29,0
0.0,0.26,0.0,12.82,95,2,0.0,0,-0.26,0
0.0,0.258,0.0,12.82,95,3,0.0,0,-0.26,0
0.0,0.255,0.0,13.82,95,4,0.0,0,-0.26,0
0.0,0.283,0.0,13.82,95,5,0.0,0,-0.28,0
0.0,0.752,0.0,14.82,95,6,0.0,0,-0.75,0
0.0,0.28,0.0,15.82,95,7,0.0,1,-0.28,0
0.259,0.0,0.001,15.82,95,8,0.0,1,-0.26,0
0.226,0.0,0.05,15.82,95,9,0.18,1,-0.18,1
0.185,0.0,0.095,14.82,95,10,0.34,1,-0.09,1
0.94,0.0,0.105,14.82,95,11,0.1,1,-0.84,1
1.277,0.0,0.17,13.82,95,12,0.12,1,-1.11,1
1.165,0.0,0.123,13.82,95,13,0.1,1,-1.04,1
1.999,0.0,0.077,13.82,95,14,0.04,1,-1.92,1
2.19,0.0,0.025,13.82,95,15,0.01,1,-2.16,1
1.681,0.0,0.011,14.82,95,16,0.01,1,-1.67,1
0.797,0.0,0.0,13.82,95,17,0.0,1,-0.8,1
0.659,0.0,0.0,13.82,96,18,0.0,1,-0.66,0
0.929,0.0,0.0,13.82,95,19,0.0,0,-0.93,0
0.719,0.0,0.0,12.88,95,20,0.0,0,-0.72,0
0.418,0.0,0.0,13.04,96,21,0.0,0,-0.42,0
0.0,0.384,0.0,12.49,96,22,0.0,0,-0.38,0
0.0,0.395,0.0,12.82,96,23,0.0,0,-0.4,0
0.0,0.719,0.0,12.49,96,0,0.0,0,-0.72,0
0.0,0.342,0.0,11.93,96,1,0.0,0,-0.34,0
0.0,0.262,0.0,12.82,96,2,0.0,0,-0.26,0
0.0,0.256,0.0,11.82,96,3,0.0,0,-0.26,0
0.0,0.254,0.0,11.82,96,4,0.0,0,-0.25,0
0.0,0.253,0.0,11.77,96,5,0.0,0,-0.25,0
0.0,0.255,0.0,11.21,96,6,0.0,0,-0.26,0
0.0,1.127,0.0,11.21,96,7,0.0,1,-1.13,0
0.407,0.0,0.026,10.66,96,8,0.06,1,-0.38,0
0.193,0.0,0.184,10.66,96,9,0.48,1,-0.01,1
0.056,0.0,0.425,11.82,95,10,0.89,1,0.37,1
0.286,0.0,0.38,13.82,94,11,0.57,1,0.09,1
0.0,0.0,0.242,14.82,80,12,1.01,1,0.24,1
0.0,0.0,0.245,14.82,79,13,1.02,1,0.24,1
0.0,0.0,0.322,14.15,74,14,1.01,1,0.32,1
0.066,0.0,0.265,15.26,72,15,0.8,1,0.2,1
0.236,0.0,0.08,14.82,73,16,0.25,1,-0.16,1
0.314,0.0,0.0,13.82,79,17,0.0,1,-0.31,1
1.54,0.0,0.0,12.32,82,18,0.0,1,-1.54,0
2.478,0.0,0.0,11.77,84,19,0.0,0,-2.48,0
0.643,0.0,0.0,11.21,86,20,0.0,0,-0.64,0
1.644,0.0,0.0,10.82,87,21,0.0,0,-1.64,0
0.0,0.674,0.0,11.82,87,22,0.0,0,-0.67,0
0.0,0.532,0.0,10.82,88,23,0.0,0,-0.53,0
0.0,0.346,0.0,10.82,89,0,0.0,0,-0.35,0
0.0,0.341,0.0,10.82,89,1,0.0,0,-0.34,0
0.0,0.292,0.0,10.82,86,2,0.0,0,-0.29,0
0.0,0.28,0.0,11.82,90,3,0.0,0,-0.28,0
0.0,0.268,0.0,10.82,93,4,0.0,0,-0.27,0
0.0,0.286,0.0,10.82,94,5,0.0,0,-0.29,0
0.0,0.254,0.0,10.82,94,6,0.0,0,-0.25,0
0.0,1.36,0.0,11.26,94,7,0.0,1,-1.36,0
0.394,0.0,0.029,11.26,94,8,0.07,1,-0.36,0
0.212,0.0,0.086,11.82,94,9,0.29,1,-0.13,1
0.12,0.0,0.12,12.82,95,10,0.5,1,0.0,1
0.007,0.0,0.23,13.82,95,11,0.96,1,0.22,1
0.006,0.0,0.234,14.82,95,12,0.98,1,0.23,1
0.122,0.0,0.161,14.82,94,13,0.57,1,0.04,1
0.292,0.0,0.082,14.45,94,14,0.22,1,-0.21,1
0.633,0.0,0.115,14.15,94,15,0.15,1,-0.52,1
0.751,0.0,0.029,14.82,95,16,0.04,1,-0.72,1
0.401,0.0,0.0,14.82,94,17,0.0,1,-0.4,1
0.287,0.0,0.0,14.82,94,18,0.0,1,-0.29,0
0.431,0.0,0.0,13.82,94,19,0.0,0,-0.43,0
1.081,0.0,0.0,13.82,94,20,0.0,0,-1.08,0
0.64,0.0,0.0,13.82,92,21,0.0,0,-0.64,0
0.0,0.866,0.0,13.82,91,22,0.0,0,-0.87,0
0.0,0.582,0.0,13.82,91,23,0.0,0,-0.58,0
0.0,0.364,0.0,13.82,92,0,0.0,0,-0.36,0
0.0,0.257,0.0,13.82,93,1,0.0,0,-0.26,0
0.0,0.251,0.0,13.82,95,2,0.0,0,-0.25,0
0.0,0.266,0.0,13.12,95,3,0.0,0,-0.27,0
0.0,0.257,0.0,13.04,95,4,0.0,0,-0.26,0
0.0,0.25,0.0,13.04,93,5,0.0,0,-0.25,0
0.0,0.249,0.0,12.32,94,6,0.0,0,-0.25,0
0.0,0.959,0.0,11.93,95,7,0.0,1,-0.96,0
0.298,0.0,0.089,11.21,95,8,0.23,1,-0.21,0
0.461,0.0,0.347,11.38,95,9,0.43,1,-0.11,1
0.04,0.0,0.342,13.04,95,10,0.9,1,0.3,1
0.0,0.0,0.254,14.15,90,11,1.02,1,0.25,1
0.0,0.0,0.255,15.26,77,12,0.98,1,0.26,1
0.0,0.0,0.252,15.82,71,13,1.01,1,0.25,1
0.0,0.0,0.246,14.82,70,14,0.98,1,0.25,1
0.0,0.0,0.248,15.26,70,15,0.99,1,0.25,1
0.165,0.0,0.074,15.82,69,16,0.31,1,-0.09,1
0.307,0.0,0.0,13.6,73,17,0.0,1,-0.31,1
0.398,0.0,0.0,12.49,80,18,0.0,1,-0.4,0
0.386,0.0,0.0,11.77,83,19,0.0,0,-0.39,0
0.358,0.0,0.0,11.21,87,20,0.0,0,-0.36,0
0.428,0.0,0.0,11.21,89,21,0.0,0,-0.43,0
0.0,0.358,0.0,10.66,90,22,0.0,0,-0.36,0
0.0,0.356,0.0,10.1,89,23,0.0,0,-0.36,0
0.0,0.423,0.0,9.54,91,0,0.0,0,-0.42,0
0.0,0.253,0.0,9.04,91,1,0.0,0,-0.25,0
0.0,0.251,0.0,9.04,92,2,0.0,0,-0.25,0
0.0,0.288,0.0,7.93,92,3,0.0,0,-0.29,0
0.0,0.271,0.0,7.93,92,4,0.0,0,-0.27,0
0.0,0.255,0.0,7.93,92,5,0.0,0,-0.26,0
0.0,0.291,0.0,7.93,94,6,0.0,0,-0.29,0
0.0,1.006,0.0,7.37,94,7,0.0,1,-1.01,0
0.306,0.0,0.06,6.82,93,8,0.16,1,-0.25,0
0.09,0.0,0.188,7.37,93,9,0.67,1,0.1,1
0.055,0.0,0.236,8.48,92,10,0.81,1,0.18,1
0.081,0.0,0.183,10.7,88,11,0.7,1,0.1,1
0.113,0.0,0.168,10.7,85,12,0.6,1,0.06,1
0.101,0.0,0.193,11.26,85,13,0.67,1,0.09,1
0.586,0.0,0.132,12.01,86,14,0.18,1,-0.45,1
0.311,0.0,0.084,11.82,84,15,0.21,1,-0.23,1
0.29,0.0,0.021,11.82,86,16,0.07,1,-0.27,1
0.992,0.0,0.0,11.82,87,17,0.0,1,-0.99,1
0.646,0.0,0.0,11.82,86,18,0.0,1,-0.65,0
0.488,0.0,0.0,11.82,86,19,0.0,0,-0.49,0
0.557,0.0,0.0,11.82,85,20,0.0,0,-0.56,0
0.858,0.0,0.0,10.82,90,21,0.0,0,-0.86,0
0.0,0.43,0.0,10.82,93,22,0.0,0,-0.43,0
0.0,0.336,0.0,10.82,91,23,0.0,0,-0.34,0
0.0,0.258,0.0,10.82,91,0,0.0,0,-0.26,0
0.0,0.311,0.0,10.15,90,1,0.0,0,-0.31,0
0.0,0.286,0.0,10.15,90,2,0.0,0,-0.29,0
0.0,0.303,0.0,10.15,89,3,0.0,0,-0.3,0
0.0,0.316,0.0,10.82,89,4,0.0,0,-0.32,0
0.0,0.285,0.0,10.82,88,5,0.0,0,-0.28,0
0.0,1.568,0.0,10.15,88,6,0.0,0,-1.57,0
0.0,0.874,0.0,10.7,86,7,0.0,1,-0.87,0
0.418,0.0,0.029,10.7,88,8,0.06,1,-0.39,0
0.221,0.0,0.081,11.26,86,9,0.27,1,-0.14,1
0.174,0.0,0.148,11.82,86,10,0.46,1,-0.03,1
0.051,0.0,0.249,13.82,85,11,0.83,1,0.2,1
0.078,0.0,0.23,14.82,83,12,0.74,1,0.15,1
0.0,0.0,0.324,15.01,82,13,1.01,1,0.32,1
0.228,0.0,0.33,15.82,81,14,0.59,1,0.1,1
0.014,0.0,0.324,15.57,81,15,0.95,1,0.31,1
0.284,0.0,0.075,14.82,81,16,0.21,1,-0.21,1
0.352,0.0,0.0,14.15,83,17,0.0,1,-0.35,1
0.481,0.0,0.0,12.93,85,18,0.0,1,-0.48,0
1.284,0.0,0.0,12.37,87,19,0.0,0,-1.28,0
0.919,0.0,0.0,12.82,89,20,0.0,0,-0.92,0
0.517,0.0,0.0,12.82,90,21,0.0,0,-0.52,0
0.0,0.528,0.0,12.82,90,22,0.0,0,-0.53,0
0.0,1.154,0.0,12.37,89,23,0.0,0,-1.15,0
0.0,0.353,0.0,12.82,89,0,0.0,0,-0.35,0
0.0,0.273,0.0,12.82,89,1,0.0,0,-0.27,0
0.0,0.3,0.0,12.82,91,2,0.0,0,-0.3,0
0.0,0.302,0.0,12.01,93,3,0.0,0,-0.3,0
0.0,0.277,0.0,12.01,94,4,0.0,0,-0.28,0
0.0,1.467,0.0,12.57,94,5,0.0,0,-1.47,0
0.0,1.067,0.0,12.82,95,6,0.0,0,-1.07,0
0.0,0.303,0.0,12.01,95,7,0.0,1,-0.3,0
0.674,0.0,0.005,12.37,95,8,0.01,1,-0.67,0
0.225,0.0,0.076,12.82,95,9,0.25,1,-0.15,1
0.984,0.0,0.214,13.12,95,10,0.18,1,-0.77,1
1.013,0.0,0.108,12.93,95,11,0.1,1,-0.9,1
2.596,0.0,0.114,13.48,94,12,0.04,1,-2.48,1
1.002,0.0,0.204,14.79,92,13,0.17,1,-0.8,1
1.299,0.0,0.151,14.79,92,14,0.1,1,-1.15,1
0.568,0.0,0.09,14.23,94,15,0.14,1,-0.48,1
0.739,0.0,0.028,14.23,94,16,0.04,1,-0.71,1
1.199,0.0,0.0,13.82,93,17,0.0,1,-1.2,1
0.579,0.0,0.0,13.6,93,18,0.0,1,-0.58,0
0.567,0.0,0.0,12.93,92,19,0.0,0,-0.57,0
0.435,0.0,0.0,13.68,93,20,0.0,0,-0.44,0
0.449,0.0,0.0,13.04,92,21,0.0,0,-0.45,0
0.0,0.445,0.0,13.12,93,22,0.0,0,-0.44,0
0.0,0.461,0.0,13.82,94,23,0.0,0,-0.46,0
0.0,0.317,0.0,13.82,93,0,0.0,0,-0.32,0
0.0,0.293,0.0,13.6,94,1,0.0,0,-0.29,0
0.0,0.286,0.0,13.04,95,2,0.0,0,-0.29,0
0.0,1.485,0.0,10.9,94,3,0.0,0,-1.48,0
0.0,0.305,0.0,10.82,94,4,0.0,0,-0.3,0
0.0,0.296,0.0,10.1,91,5,0.0,0,-0.3,0
0.0,0.265,0.0,10.1,90,6,0.0,0,-0.26,0
0.0,0.301,0.0,9.54,90,7,0.0,1,-0.3,0
0.188,0.0,0.106,8.04,90,8,0.37,1,-0.08,1
0.0,0.0,0.364,8.99,86,9,1.01,1,0.36,1
0.686,0.0,0.665,10.26,81,10,0.49,1,-0.02,1
0.371,0.0,0.402,10.82,73,11,0.52,1,0.03,1
1.431,0.0,0.674,11.38,68,12,0.32,1,-0.76,1
0.673,0.0,0.506,11.93,63,13,0.43,1,-0.17,1
0.029,0.0,0.29,11.93,67,14,0.91,1,0.26,1
0.754,0.0,0.328,11.93,71,15,0.3,1,-0.43,1
0.405,0.0,0.099,11.38,72,16,0.2,1,-0.31,1
0.713,0.0,0.0,10.82,73,17,0.0,1,-0.71,1
0.672,0.0,0.0,10.82,79,18,0.0,1,-0.67,0
0.754,0.0,0.0,10.82,81,19,0.0,0,-0.75,0
0.822,0.0,0.0,11.82,85,20,0.0,0,-0.82,0
0.653,0.0,0.0,11.82,90,21,0.0,0,-0.65,0
0.0,0.597,0.0,11.82,91,22,0.0,0,-0.6,0
0.0,0.639,0.0,11.82,94,23,0.0,0,-0.64,0
0.0,0.747,0.0,12.82,94,0,0.0,0,-0.75,0
0.0,0.556,0.0,12.82,95,1,0.0,0,-0.56,0
0.0,0.604,0.0,12.82,95,2,0.0,0,-0.6,0
0.0,0.813,0.0,11.82,95,3,0.0,0,-0.81,0
0.0,0.504,0.0,12.82,95,4,0.0,0,-0.5,0
0.0,0.49,0.0,12.82,95,5,0.0,0,-0.49,0
0.0,0.472,0.0,13.82,95,6,0.0,0,-0.47,0
0.0,1.364,0.0,13.82,95,7,0.0,1,-1.36,0
0.369,0.0,0.0,13.82,95,8,0.0,1,-0.37,1
0.271,0.0,0.013,12.82,95,9,0.05,1,-0.26,1
0.243,0.0,0.068,13.82,95,10,0.22,1,-0.18,1
0.251,0.0,0.089,13.82,95,11,0.26,1,-0.16,1
0.687,0.0,0.095,13.82,96,12,0.12,1,-0.59,1
0.222,0.0,0.071,13.82,96,13,0.24,1,-0.15,1
0.228,0.0,0.029,13.82,96,14,0.11,1,-0.2,1
0.306,0.0,0.004,13.82,96,15,0.01,1,-0.3,1
0.283,0.0,0.0,12.82,96,16,0.0,1,-0.28,1
0.504,0.0,0.0,12.82,96,17,0.0,1,-0.5,1
1.494,0.0,0.0,13.82,96,18,0.0,1,-1.49,0
0.637,0.0,0.0,12.82,96,19,0.0,0,-0.64,0
0.465,0.0,0.0,13.82,96,20,0.0,0,-0.46,0
0.48,0.0,0.0,13.82,96,21,0.0,0,-0.48,0
0.0,0.729,0.0,12.82,96,22,0.0,0,-0.73,0
0.0,0.517,0.0,12.82,96,23,0.0,0,-0.52,0
0.0,0.512,0.0,13.82,96,0,0.0,0,-0.51,0
0.0,0.562,0.0,13.82,96,1,0.0,0,-0.56,0
0.0,0.264,0.0,13.82,96,2,0.0,0,-0.26,0
0.0,0.305,0.0,13.82,96,3,0.0,0,-0.3,0
0.0,0.263,0.0,13.82,93,4,0.0,0,-0.26,0
0.0,0.279,0.0,12.82,93,5,0.0,0,-0.28,0
0.0,0.275,0.0,12.82,87,6,0.0,0,-0.28,0
0.0,1.006,0.0,10.82,93,7,0.0,1,-1.01,0
0.461,0.0,0.012,10.82,90,8,0.03,1,-0.45,1
0.222,0.0,0.122,11.82,93,9,0.36,1,-0.1,1
0.284,0.0,0.115,11.82,93,10,0.29,1,-0.17,1
0.276,0.0,0.145,10.82,91,11,0.35,1,-0.13,1
0.139,0.0,0.267,10.82,93,12,0.65,1,0.13,1
0.6,0.0,0.233,10.26,90,13,0.28,1,-0.37,1
0.169,0.0,0.178,10.82,87,14,0.51,1,0.01,1
0.431,0.0,0.093,9.82,90,15,0.18,1,-0.34,1
0.337,0.0,0.058,9.82,91,16,0.14,1,-0.28,1
0.364,0.0,0.002,8.43,92,17,0.01,1,-0.36,1
2.341,0.0,0.0,8.82,89,18,0.0,1,-2.34,0
0.543,0.0,0.0,8.82,91,19,0.0,0,-0.54,0
0.65,0.0,0.0,7.82,91,20,0.0,0,-0.65,0
0.372,0.0,0.0,8.82,92,21,0.0,0,-0.37,0
0.0,0.357,0.0,8.82,92,22,0.0,0,-0.36,0
0.0,0.447,0.0,6.82,93,23,0.0,0,-0.45,0
0.0,0.277,0.0,9.82,92,0,0.0,0,-0.28,0
0.0,0.272,0.0,8.82,93,1,0.0,0,-0.27,0
0.0,0.314,0.0,8.82,93,2,0.0,0,-0.31,0
0.0,0.279,0.0,7.82,93,3,0.0,0,-0.28,0
0.0,0.313,0.0,7.82,93,4,0.0,0,-0.31,0
0.0,0.283,0.0,7.82,93,5,0.0,0,-0.28,0
0.0,0.296,0.0,5.82,92,6,0.0,0,-0.3,0
0.0,0.957,0.0,5.82,90,7,0.0,1,-0.96,0
0.358,0.0,0.088,5.82,90,8,0.2,1,-0.27,1
1.317,0.0,0.363,5.82,92,9,0.22,1,-0.95,1
0.05,0.0,0.331,7.82,89,10,0.87,1,0.28,1
0.047,0.0,0.343,8.82,85,11,0.88,1,0.3,1
0.228,0.0,0.472,8.12,81,12,0.67,1,0.24,1
0.9,0.0,0.543,9.82,76,13,0.38,1,-0.36,1
