date,normal_consume,consumption_in_period,autoconsume,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description,dew_point
2023-01-01 15:00,0.362,0.0,0.001,13.5,13.36,12.57,13.82,1015,94,1.97,6.16,100,heavy intensity rain,12.06
2023-01-01 16:00,1.326,0.0,0.0,13.3,13.17,11.68,13.48,1015,95,1.77,5.42,100,heavy intensity rain,12.06
2023-01-01 17:00,0.631,0.0,0.0,11.83,11.55,11.72,12.32,1015,95,1.67,3.76,100,moderate rain,10.56
2023-01-01 18:00,0.595,0.0,0.0,11.32,10.99,11.26,11.82,1016,95,2.22,2.03,100,moderate rain,10.05
2023-01-01 19:00,2.089,0.0,0.0,10.73,10.34,10.57,11.77,1017,95,2.71,1.3,100,moderate rain,9.48
2023-01-01 20:00,1.635,0.0,0.0,10.7,10.31,10.01,10.9,1018,95,2.35,0.85,100,light rain,9.45
2023-01-01 21:00,0.637,0.0,0.0,10.72,10.33,9.79,11.21,1020,95,2.7,0.5,90,light rain,9.46
2023-01-01 22:00,0.0,0.577,0.0,10.23,9.82,9.23,11.21,1021,96,1.84,0.31,72,light rain,9.11
2023-01-01 23:00,0.0,0.566,0.0,10.2,9.78,9.23,10.82,1022,96,1.72,0.26,47,light rain,9.09
2023-01-02 00:00,0.0,0.639,0.0,10.02,9.58,8.68,10.15,1022,96,1.5,0.15,37,light rain,8.94
2023-01-02 01:00,0.0,0.51,0.0,9.51,9.51,8.12,9.59,1022,96,0.34,0.24,34,light rain,8.43
2023-01-02 02:00,0.0,0.375,0.0,9.01,9.01,8.12,9.04,1023,96,0.85,0.19,46,light rain,7.93
2023-01-02 03:00,0.0,0.345,0.0,8.92,8.92,7.72,9.04,1023,96,0.93,0.22,44,light rain,7.85
2023-01-02 04:00,0.0,0.241,0.0,8.92,8.92,7.72,9.04,1024,96,1.15,0.37,44,light rain,7.85
2023-01-02 05:00,0.0,0.237,0.0,7.91,7.91,7.57,7.93,1025,95,0.94,0.47,57,light rain,6.67
2023-01-02 06:00,0.0,0.252,0.0,7.92,7.92,7.72,7.93,1025,96,1.21,0.14,55,light rain,6.83
2023-01-02 07:00,0.0,0.974,0.0,8.0,6.96,7.01,8.82,1026,96,1.89,,100,overcast clouds,6.89
2023-01-02 08:00,0.476,0.0,0.01,7.4,5.89,6.68,7.82,1026,95,2.31,,100,overcast clouds,6.16
2023-01-02 09:00,0.15,0.0,0.083,8.5,7.08,7.01,8.82,1027,96,2.45,,100,overcast clouds,7.4
2023-01-02 10:00,0.08,0.0,0.158,9.56,8.51,7.57,9.82,1027,96,2.21,,100,overcast clouds,8.47
2023-01-02 11:00,0.0,0.0,0.251,10.71,10.26,9.54,11.82,1028,93,1.55,,96,overcast clouds,9.13
2023-01-02 12:00,0.0,0.0,0.248,10.87,10.36,9.23,12.82,1028,90,1.25,,39,scattered clouds,8.77
2023-01-02 13:00,0.166,0.0,0.078,12.94,12.3,10.66,13.82,1027,77,1.12,,21,few clouds,8.52
2023-01-02 14:00,0.01,0.0,0.22,13.0,12.26,12.57,13.82,1027,73,1.1,,27,scattered clouds,7.8
2023-01-02 15:00,0.023,0.0,0.272,12.57,11.76,11.77,14.82,1028,72,1.15,,26,scattered clouds,7.14
2023-01-02 16:00,0.251,0.0,0.053,12.0,11.16,11.45,13.82,1028,73,1.1,,26,scattered clouds,6.81
2023-01-02 17:00,0.425,0.0,0.0,11.33,10.53,10.34,12.79,1028,77,1.33,,27,scattered clouds,6.95
2023-01-02 18:00,0.97,0.0,0.0,10.12,9.33,9.23,10.57,1029,82,0.83,,20,few clouds,6.71
2023-01-02 19:00,0.683,0.0,0.0,9.52,9.52,6.93,11.21,1029,85,0.5,,20,few clouds,6.64
2023-01-02 20:00,0.73,0.0,0.0,8.93,8.93,6.38,10.66,1029,87,0.61,,20,few clouds,6.4
2023-01-02 21:00,0.847,0.0,0.0,9.29,9.29,5.82,10.1,1030,87,0.98,,10,sky is clear,6.79
2023-01-02 22:00,0.0,0.681,0.0,8.86,8.53,4.71,9.54,1030,89,1.34,,5,sky is clear,6.67
2023-01-02 23:00,0.0,0.56,0.0,8.36,7.76,4.71,8.99,1030,89,1.52,,9,sky is clear,6.16
2023-01-03 00:00,0.0,0.521,0.0,8.82,8.39,4.71,9.04,1031,87,1.42,,43,scattered clouds,6.31
2023-01-03 01:00,0.0,0.338,0.0,7.87,6.55,4.23,7.93,1031,89,2.19,,63,broken clouds,5.68
2023-01-03 02:00,0.0,0.271,0.0,7.77,5.87,4.23,7.93,1031,90,2.95,,99,overcast clouds,5.75
2023-01-03 03:00,0.0,0.259,0.0,7.36,5.4,5.26,7.37,1031,91,2.91,,100,overcast clouds,5.5
2023-01-03 04:00,0.0,0.247,0.0,6.82,4.76,6.72,6.82,1031,92,2.9,,98,overcast clouds,5.13
2023-01-03 05:00,0.0,0.263,0.0,7.33,5.4,4.71,7.37,1031,92,2.86,,85,overcast clouds,5.66
2023-01-03 06:00,0.0,0.274,0.0,7.88,6.1,4.71,7.93,1031,89,2.8,,100,overcast clouds,5.73
2023-01-03 07:00,0.0,0.813,0.0,7.88,6.1,4.15,7.93,1032,88,2.8,,100,overcast clouds,5.57
2023-01-03 08:00,0.301,0.0,0.081,7.86,6.05,4.15,7.93,1032,86,2.83,,100,overcast clouds,5.23
2023-01-03 09:00,0.0,0.0,0.325,8.42,6.78,4.15,8.48,1033,86,2.74,,100,overcast clouds,5.77
2023-01-03 10:00,0.0,0.0,0.271,10.51,9.68,6.12,10.7,1034,79,2.61,,38,scattered clouds,6.59
2023-01-03 11:00,0.0,0.0,0.261,11.24,10.4,8.43,11.26,1034,76,2.01,,10,sky is clear,6.71
2023-01-03 12:00,0.368,0.0,0.614,12.78,11.89,9.45,12.93,1034,68,1.58,,34,scattered clouds,6.59
2023-01-03 13:00,0.06,0.0,0.495,12.83,12.0,10.1,12.93,1033,70,1.28,,66,broken clouds,7.04
2023-01-03 14:00,0.0,0.0,0.255,13.0,12.05,12.23,13.82,1033,65,1.19,,99,overcast clouds,6.1
2023-01-03 15:00,0.023,0.0,0.221,13.0,12.13,10.26,14.82,1032,68,1.23,,100,overcast clouds,6.73
2023-01-03 16:00,0.175,0.0,0.065,12.46,11.62,11.38,13.82,1032,71,0.9,,97,overcast clouds,6.85
2023-01-03 17:00,0.23,0.0,0.0,11.9,11.03,11.68,12.82,1033,72,0.97,,94,overcast clouds,6.53
2023-01-03 18:00,0.858,0.0,0.0,11.19,10.45,10.01,11.26,1033,80,0.51,,81,broken clouds,7.4
2023-01-03 19:00,0.843,0.0,0.0,10.11,9.32,9.23,10.15,1034,82,0.57,,47,scattered clouds,6.71
2023-01-03 20:00,0.463,0.0,0.0,9.43,9.43,7.72,9.59,1034,84,1.3,,35,scattered clouds,6.41
2023-01-03 21:00,0.854,0.0,0.0,9.9,9.23,7.57,10.15,1034,84,1.82,,19,few clouds,6.89
2023-01-03 22:00,0.0,1.514,0.0,9.39,8.9,7.01,9.59,1034,84,1.55,,18,few clouds,6.38
2023-01-03 23:00,0.0,0.609,0.0,9.37,8.86,6.45,9.59,1035,79,1.57,,10,sky is clear,5.48
2023-01-04 00:00,0.0,0.592,0.0,8.64,7.98,5.9,9.04,1035,83,1.61,,18,few clouds,5.46
2023-01-04 01:00,0.0,0.579,0.0,8.79,8.01,4.15,9.04,1035,82,1.75,,17,few clouds,5.41
2023-01-04 02:00,0.0,0.531,0.0,8.88,7.89,3.6,9.04,1034,77,2.0,,39,scattered clouds,4.61
2023-01-04 03:00,0.0,0.264,0.0,8.35,7.14,4.15,8.48,1034,81,2.15,,66,broken clouds,4.82
2023-01-04 04:00,0.0,0.266,0.0,8.87,7.71,4.71,9.04,1035,77,2.2,,23,few clouds,4.61
2023-01-04 05:00,0.0,0.265,0.0,8.87,7.68,4.71,9.04,1034,75,2.24,,25,scattered clouds,4.23
2023-01-04 06:00,0.0,0.299,0.0,8.87,7.59,4.15,9.04,1034,75,2.36,,44,scattered clouds,4.22
2023-01-04 07:00,0.0,1.245,0.0,6.4,4.65,4.15,6.82,1035,97,2.39,,56,broken clouds,5.27
2023-01-04 08:00,0.369,0.0,0.092,6.3,4.46,4.15,6.82,1035,97,2.48,,70,broken clouds,5.17
2023-01-04 09:00,0.0,0.0,0.367,9.95,8.61,4.15,10.15,1035,69,2.74,,53,broken clouds,4.08
2023-01-04 10:00,0.0,0.0,0.367,11.66,10.58,7.79,11.82,1036,65,2.78,,18,few clouds,4.88
2023-01-04 11:00,0.0,0.0,0.361,13.34,12.3,8.9,13.48,1036,60,2.24,,5,sky is clear,5.31
2023-01-04 12:00,0.0,0.0,0.281,13.97,13.15,11.68,14.04,1036,66,1.73,,4,sky is clear,7.28
2023-01-04 13:00,0.0,0.0,0.252,14.08,13.35,12.79,14.82,1035,69,1.34,,4,sky is clear,8.0
2023-01-04 14:00,0.0,0.0,0.288,14.65,13.84,12.49,15.82,1034,64,1.02,,3,sky is clear,7.43
2023-01-04 15:00,0.204,0.0,0.324,14.6,13.87,14.45,15.34,1034,67,0.65,,3,sky is clear,8.08
2023-01-04 16:00,0.21,0.0,0.042,14.5,13.81,13.6,14.79,1033,69,0.31,,6,sky is clear,8.43
2023-01-04 17:00,0.304,0.0,0.0,13.81,13.07,10.82,14.23,1033,70,0.39,,6,sky is clear,7.98
2023-01-04 18:00,1.174,0.0,0.0,12.77,12.01,11.21,12.93,1034,73,0.96,,1,sky is clear,7.62
2023-01-04 19:00,1.826,0.0,0.0,12.09,11.31,9.72,12.37,1034,75,1.57,,2,sky is clear,7.36
2023-01-04 20:00,1.262,0.0,0.0,11.56,10.83,9.45,11.82,1034,79,1.88,,0,sky is clear,7.61
2023-01-04 21:00,0.808,0.0,0.0,11.06,10.44,8.99,11.26,1033,85,1.98,,1,sky is clear,8.19
2023-01-04 22:00,0.0,0.662,0.0,10.46,9.81,8.12,10.7,1033,86,1.99,,0,sky is clear,7.77
2023-01-04 23:00,0.0,0.472,0.0,9.89,9.14,7.57,10.15,1033,84,1.91,,0,sky is clear,6.88
2023-01-05 00:00,0.0,0.418,0.0,10.26,9.43,6.72,10.7,1032,80,2.06,,0,sky is clear,6.56
2023-01-05 01:00,0.0,0.361,0.0,6.21,4.55,5.72,7.79,1032,92,2.25,,0,sky is clear,4.56
2023-01-05 02:00,0.0,0.357,0.0,7.69,6.21,7.32,8.34,1032,91,2.34,,0,sky is clear,5.81
2023-01-05 03:00,0.0,0.319,0.0,7.69,6.17,7.32,7.82,1031,93,2.39,,0,sky is clear,6.13
2023-01-05 04:00,0.0,0.308,0.0,6.77,5.16,6.72,7.23,1031,94,2.3,,0,sky is clear,5.39
2023-01-05 05:00,0.0,0.303,0.0,5.15,3.32,4.72,6.77,1030,95,2.23,,0,sky is clear,3.97
2023-01-05 06:00,0.0,0.308,0.0,5.85,4.08,5.72,7.23,1030,94,2.3,,0,sky is clear,4.48
2023-01-05 07:00,0.0,0.829,0.0,6.67,5.05,6.21,6.82,1030,95,2.29,,1,sky is clear,5.42
2023-01-05 08:00,0.381,0.0,0.094,5.75,4.01,5.66,6.12,1030,94,2.24,,2,sky is clear,4.37
2023-01-05 09:00,0.0,0.0,0.335,7.48,5.65,6.21,7.82,1031,92,2.75,,2,sky is clear,5.74
2023-01-05 10:00,0.336,0.0,0.616,12.19,10.98,8.34,12.37,1031,58,2.46,,0,sky is clear,3.76
2023-01-05 11:00,0.0,0.0,0.337,13.34,12.24,9.45,13.48,1031,58,2.02,,0,sky is clear,4.83
2023-01-05 12:00,0.057,0.0,0.424,13.96,13.0,10.82,14.04,1030,61,1.76,,0,sky is clear,6.11
2023-01-05 13:00,0.0,0.0,0.343,14.46,13.58,11.93,14.59,1029,62,1.61,,0,sky is clear,6.81
2023-01-05 14:00,0.0,0.0,0.292,14.69,13.96,14.45,15.82,1028,67,1.47,,0,sky is clear,8.15
2023-01-05 15:00,0.0,0.0,0.293,14.18,13.14,13.04,15.82,1028,57,1.35,,2,sky is clear,5.31
2023-01-05 16:00,0.247,0.0,0.049,14.11,13.14,11.77,15.82,1028,60,0.83,,0,sky is clear,5.98
2023-01-05 17:00,0.321,0.0,0.0,12.46,11.46,11.21,13.82,1028,65,1.02,,0,sky is clear,5.59
2023-01-05 18:00,0.89,0.0,0.0,11.6,10.62,9.72,11.82,1028,69,0.53,,0,sky is clear,5.68
2023-01-05 19:00,1.752,0.0,0.0,10.49,9.5,8.72,10.7,1028,73,1.03,,2,sky is clear,5.42
2023-01-05 20:00,0.817,0.0,0.0,9.58,9.11,7.79,9.82,1028,78,1.56,,0,sky is clear,5.46
2023-01-05 21:00,1.256,0.0,0.0,9.0,8.16,7.57,9.04,1028,81,1.85,,0,sky is clear,5.44
2023-01-05 22:00,0.0,2.771,0.0,8.48,7.5,6.12,8.82,1028,83,1.91,,0,sky is clear,5.27
2023-01-05 23:00,0.0,2.215,0.0,7.1,5.92,3.6,7.82,1028,92,1.89,,1,sky is clear,5.19
2023-01-06 00:00,0.0,1.78,0.0,7.87,6.85,5.34,7.93,1028,85,1.85,,2,sky is clear,5.03
2023-01-06 01:00,0.0,0.95,0.0,6.69,5.52,4.79,6.82,1027,92,1.82,,5,sky is clear,4.99
2023-01-06 02:00,0.0,0.713,0.0,6.59,5.45,4.23,6.82,1027,93,1.77,,11,few clouds,5.03
2023-01-06 03:00,0.0,0.47,0.0,6.77,5.47,5.66,6.82,1027,95,1.96,,18,few clouds,5.54
2023-01-06 04:00,0.0,0.497,0.0,6.29,4.87,2.49,6.82,1027,94,2.0,,39,scattered clouds,4.58
2023-01-06 05:00,0.0,0.443,0.0,5.57,3.86,3.04,5.82,1026,94,2.18,,60,broken clouds,3.99
2023-01-06 06:00,0.0,0.792,0.0,5.7,3.99,3.9,5.82,1026,90,2.2,,42,scattered clouds,3.7
2023-01-06 07:00,0.0,1.763,0.0,5.7,3.92,5.1,5.82,1026,92,2.28,,54,broken clouds,4.02
2023-01-06 08:00,0.947,0.0,0.074,5.69,3.84,3.6,5.82,1027,89,2.36,,66,broken clouds,3.53
2023-01-06 09:00,0.245,0.0,0.406,4.64,2.16,3.6,5.82,1027,94,2.88,,74,broken clouds,3.25
2023-01-06 10:00,0.164,0.0,0.421,5.7,3.3,5.7,6.82,1027,92,3.06,,75,broken clouds,4.02
2023-01-06 11:00,0.052,0.0,0.449,8.48,6.87,8.48,8.82,1027,91,2.71,,86,overcast clouds,6.61
2023-01-06 12:00,0.067,0.0,0.394,10.21,9.4,10.15,10.82,1027,81,2.68,,89,overcast clouds,6.6
2023-01-06 13:00,0.018,0.0,0.436,10.79,10.07,10.57,12.01,1026,82,2.81,,90,overcast clouds,7.35
2023-01-06 14:00,0.0,0.0,0.444,11.4,10.71,11.26,13.12,1025,81,3.6,,96,overcast clouds,7.75
2023-01-06 15:00,0.222,0.0,0.223,10.98,10.27,10.7,13.82,1024,82,3.81,,97,overcast clouds,7.5
2023-01-06 16:00,0.457,0.0,0.046,11.44,10.75,10.1,13.82,1024,81,3.56,,97,overcast clouds,7.77
2023-01-06 17:00,0.586,0.0,0.0,10.88,10.22,10.66,12.82,1024,84,3.25,,83,broken clouds,7.78
2023-01-06 18:00,1.821,0.0,0.0,10.87,10.18,10.1,12.82,1024,83,3.19,,73,broken clouds,7.58
2023-01-06 19:00,1.046,0.0,0.0,10.79,10.04,10.01,11.82,1024,81,3.37,,49,scattered clouds,7.17
2023-01-06 20:00,0.413,0.0,0.0,10.76,9.98,9.54,11.82,1023,80,3.38,,57,broken clouds,6.96
2023-01-06 21:00,0.36,0.0,0.0,10.28,9.5,9.54,11.82,1023,82,3.32,,88,overcast clouds,6.84
2023-01-06 22:00,0.0,0.369,0.0,10.85,10.13,9.54,12.82,1023,82,4.57,0.12,88,light rain,7.39
2023-01-06 23:00,0.0,0.375,0.0,10.94,10.26,9.54,13.82,1022,83,5.07,0.27,95,light rain,7.64
2023-01-07 00:00,0.0,0.732,0.0,11.45,10.79,10.1,13.82,1022,82,5.48,0.28,100,light rain,7.97
2023-01-07 01:00,0.0,0.605,0.0,11.47,10.87,10.66,13.82,1021,84,5.75,0.2,100,light rain,8.35
2023-01-07 02:00,0.0,0.493,0.0,10.99,10.39,10.7,13.82,1021,86,5.99,0.58,100,light rain,8.21
2023-01-07 03:00,0.0,1.073,0.0,11.49,10.99,11.21,13.82,1020,88,6.28,1.09,100,moderate rain,9.04
2023-01-07 04:00,0.0,0.777,0.0,12.86,12.55,11.21,12.93,1019,90,6.46,1.72,100,moderate rain,10.79
2023-01-07 05:00,0.0,0.469,0.0,12.9,12.65,11.93,12.93,1018,92,6.77,2.23,100,moderate rain,11.14
2023-01-07 06:00,0.0,0.412,0.0,12.92,12.7,12.23,13.6,1018,93,7.02,2.84,100,moderate rain,11.34
2023-01-07 07:00,0.0,0.408,0.0,12.91,12.68,12.23,13.12,1017,93,7.19,4.48,100,heavy intensity rain,11.32
2023-01-07 08:00,0.383,0.0,0.0,12.91,12.68,12.23,13.12,1017,93,7.15,3.86,100,moderate rain,11.32
2023-01-07 09:00,0.343,0.0,0.023,13.5,13.33,12.79,13.82,1017,93,6.85,3.02,100,moderate rain,11.91
2023-01-07 10:00,0.333,0.0,0.03,13.48,13.34,12.32,14.15,1017,94,6.75,3.35,100,moderate rain,12.05
2023-01-07 11:00,0.415,0.0,0.057,14.09,14.01,13.34,14.82,1017,94,6.69,3.36,100,moderate rain,12.64
2023-01-07 12:00,0.61,0.0,0.061,14.1,14.02,13.34,14.82,1017,94,7.11,3.11,100,moderate rain,12.65
2023-01-07 13:00,0.533,0.0,0.065,14.02,13.96,13.68,14.15,1017,95,6.14,1.26,100,moderate rain,12.75
2023-01-07 14:00,0.536,0.0,0.02,14.17,14.12,13.43,15.82,1017,95,5.03,0.67,100,light rain,12.86
2023-01-07 15:00,0.922,0.0,0.005,13.12,12.97,12.93,14.82,1017,95,4.0,0.31,100,light rain,11.82
2023-01-07 16:00,0.678,0.0,0.001,13.01,12.85,12.23,13.82,1017,95,2.2,0.29,98,light rain,11.72
2023-01-07 17:00,0.521,0.0,0.0,12.96,12.79,10.9,13.82,1016,95,2.62,0.37,100,light rain,11.68
2023-01-07 18:00,0.563,0.0,0.0,12.24,12.0,10.34,13.82,1017,95,3.03,0.19,97,light rain,10.95
2023-01-07 19:00,0.668,0.0,0.0,11.86,11.58,11.38,12.82,1018,95,3.27,0.32,100,light rain,10.59
2023-01-07 20:00,0.523,0.0,0.0,11.98,11.71,10.34,13.82,1018,95,3.35,0.3,100,light rain,10.68
2023-01-07 21:00,0.338,0.0,0.0,11.97,11.7,10.9,13.82,1018,95,3.63,0.64,100,light rain,10.68
2023-01-07 22:00,0.0,0.34,0.0,11.97,11.68,11.12,13.82,1018,94,4.46,0.98,100,light rain,10.52
2023-01-07 23:00,0.0,0.411,0.0,11.97,11.7,11.12,13.82,1017,95,5.13,1.51,100,moderate rain,10.68
2023-01-08 00:00,0.0,0.677,0.0,11.97,11.7,10.9,13.82,1017,95,5.02,1.71,100,moderate rain,10.68
2023-01-08 01:00,0.0,0.286,0.0,11.4,11.08,11.12,12.82,1017,95,5.43,1.33,100,moderate rain,10.12
2023-01-08 02:00,0.0,0.26,0.0,11.39,11.07,11.21,12.82,1016,95,5.18,1.25,100,moderate rain,10.1
2023-01-08 03:00,0.0,0.258,0.0,11.9,11.63,10.9,12.82,1015,95,4.35,1.3,100,moderate rain,10.62
2023-01-08 04:00,0.0,0.255,0.0,12.47,12.25,11.45,13.82,1014,95,4.17,1.22,100,moderate rain,11.18
2023-01-08 05:00,0.0,0.283,0.0,12.98,12.81,11.45,13.82,1012,95,5.33,1.64,100,moderate rain,11.69
2023-01-08 06:00,0.0,0.752,0.0,14.55,14.54,12.57,14.82,1011,95,7.88,3.19,100,moderate rain,13.27
2023-01-08 07:00,0.0,0.28,0.0,15.19,15.25,14.45,15.82,1011,95,9.87,3.28,90,moderate rain,13.9
2023-01-08 08:00,0.259,0.0,0.001,14.68,14.68,13.99,15.82,1012,95,8.37,2.45,91,moderate rain,13.38
2023-01-08 09:00,0.226,0.0,0.05,14.68,14.68,13.99,15.82,1014,95,6.63,0.58,96,light rain,13.38
2023-01-08 10:00,0.185,0.0,0.095,14.1,14.05,13.68,14.82,1015,95,5.55,0.63,94,light rain,12.81
2023-01-08 11:00,0.94,0.0,0.105,14.08,14.02,13.34,14.82,1016,95,5.09,0.49,95,light rain,12.8
2023-01-08 12:00,1.277,0.0,0.17,13.51,13.4,13.12,13.82,1015,95,4.87,0.43,100,light rain,12.23
2023-01-08 13:00,1.165,0.0,0.123,13.48,13.36,12.79,13.82,1015,95,4.7,0.47,100,light rain,12.2
2023-01-08 14:00,1.999,0.0,0.077,13.49,13.38,12.79,13.82,1015,95,4.73,0.57,100,light rain,12.21
2023-01-08 15:00,2.19,0.0,0.025,13.51,13.4,13.34,13.82,1015,95,4.33,0.9,100,light rain,12.23
2023-01-08 16:00,1.681,0.0,0.011,13.59,13.49,13.12,14.82,1016,95,3.98,0.44,97,light rain,12.3
2023-01-08 17:00,0.797,0.0,0.0,13.01,12.85,12.57,13.82,1016,95,3.86,0.27,93,light rain,11.73
2023-01-08 18:00,0.659,0.0,0.0,13.01,12.87,12.01,13.82,1017,96,3.72,0.2,94,light rain,11.89
2023-01-08 19:00,0.929,0.0,0.0,12.53,12.32,12.01,13.82,1018,95,2.88,,92,overcast clouds,11.23
2023-01-08 20:00,0.719,0.0,0.0,12.42,12.2,12.01,12.88,1019,95,2.7,,85,overcast clouds,11.15
2023-01-08 21:00,0.418,0.0,0.0,12.41,12.21,11.45,13.04,1020,96,2.34,,81,broken clouds,11.29
2023-01-08 22:00,0.0,0.384,0.0,12.31,12.1,11.45,12.49,1020,96,1.76,,100,overcast clouds,11.21
2023-01-08 23:00,0.0,0.395,0.0,12.38,12.18,10.9,12.82,1021,96,2.48,,99,overcast clouds,11.26
2023-01-09 00:00,0.0,0.719,0.0,11.82,11.56,11.12,12.49,1021,96,2.52,,92,overcast clouds,10.72
2023-01-09 01:00,0.0,0.342,0.0,11.29,10.98,11.12,11.93,1022,96,2.44,,89,overcast clouds,10.19
2023-01-09 02:00,0.0,0.262,0.0,11.4,11.1,9.79,12.82,1022,96,2.54,,69,broken clouds,10.28
2023-01-09 03:00,0.0,0.256,0.0,10.77,10.41,10.57,11.82,1023,96,2.48,,44,scattered clouds,9.65
2023-01-09 04:00,0.0,0.254,0.0,10.77,10.41,10.57,11.82,1023,96,2.19,,68,broken clouds,9.65
2023-01-09 05:00,0.0,0.253,0.0,10.2,9.78,10.15,11.77,1023,96,1.88,,88,overcast clouds,9.09
2023-01-09 06:00,0.0,0.255,0.0,9.67,8.69,9.59,11.21,1024,96,2.15,,72,broken clouds,8.56
2023-01-09 07:00,0.0,1.127,0.0,9.18,8.29,8.12,11.21,1025,96,1.94,,68,broken clouds,8.08
2023-01-09 08:00,0.407,0.0,0.026,9.09,9.09,8.6,10.66,1026,96,1.07,,62,broken clouds,7.99
2023-01-09 09:00,0.193,0.0,0.184,9.61,9.61,9.59,10.66,1027,96,0.31,,54,broken clouds,8.51
2023-01-09 10:00,0.056,0.0,0.425,10.76,10.37,8.68,11.82,1027,95,0.16,,40,scattered clouds,9.49
2023-01-09 11:00,0.286,0.0,0.38,11.94,11.64,10.26,13.82,1029,94,0.44,,43,scattered clouds,10.48
2023-01-09 12:00,0.0,0.0,0.242,12.54,11.94,11.38,14.82,1028,80,0.6,,56,broken clouds,8.67
2023-01-09 13:00,0.0,0.0,0.245,12.58,11.96,11.77,14.82,1028,79,1.22,,73,broken clouds,8.52
2023-01-09 14:00,0.0,0.0,0.322,13.01,12.3,12.32,14.15,1028,74,1.6,,83,broken clouds,8.01
2023-01-09 15:00,0.066,0.0,0.265,13.61,12.91,12.88,15.26,1028,72,1.69,,89,overcast clouds,8.17
2023-01-09 16:00,0.236,0.0,0.08,13.12,12.39,12.57,14.82,1028,73,1.5,,85,overcast clouds,7.9
2023-01-09 17:00,0.314,0.0,0.0,12.5,11.87,11.93,13.82,1028,79,1.29,,47,scattered clouds,8.46
2023-01-09 18:00,1.54,0.0,0.0,11.23,10.55,10.26,12.32,1029,82,1.05,,39,scattered clouds,7.8
2023-01-09 19:00,2.478,0.0,0.0,10.62,9.93,8.6,11.77,1029,84,1.24,,45,scattered clouds,7.55
2023-01-09 20:00,0.643,0.0,0.0,10.72,10.09,9.23,11.21,1030,86,1.61,,53,broken clouds,7.99
2023-01-09 21:00,1.644,0.0,0.0,10.22,9.57,8.68,10.82,1030,87,1.7,,76,broken clouds,7.65
2023-01-09 22:00,0.0,0.674,0.0,10.24,9.59,6.93,11.82,1030,87,1.48,,79,broken clouds,7.65
2023-01-09 23:00,0.0,0.532,0.0,9.65,9.04,6.38,10.82,1030,88,1.71,,93,overcast clouds,7.25
2023-01-10 00:00,0.0,0.346,0.0,10.15,9.54,6.93,10.82,1030,89,1.74,,100,overcast clouds,7.91
2023-01-10 01:00,0.0,0.341,0.0,10.2,9.6,7.49,10.82,1030,89,1.73,,98,overcast clouds,7.82
2023-01-10 02:00,0.0,0.292,0.0,10.18,9.5,7.49,10.82,1030,86,1.87,,100,overcast clouds,7.29
2023-01-10 03:00,0.0,0.28,0.0,10.72,10.2,7.49,11.82,1030,90,1.92,,100,overcast clouds,8.63
2023-01-10 04:00,0.0,0.268,0.0,10.69,10.24,9.23,10.82,1030,93,2.03,,99,overcast clouds,9.11
2023-01-10 05:00,0.0,0.286,0.0,10.69,10.27,9.23,10.82,1030,94,2.08,,100,overcast clouds,9.27
2023-01-10 06:00,0.0,0.254,0.0,10.69,10.27,9.79,10.82,1029,94,2.14,,100,overcast clouds,9.27
